carton_seq,spec,count,weight,small,medium,large,fish_ids,fish_weights,fish_buckets
1,20p,10,5022,1,1,8,15|33|21|26|32|38|10|44|48|49,451|454|480|489|478|555|529|548|529|509,small|medium|large|large|large|large|large|large|large|large
2,15p,8,5008,4,0,4,5|7|17|56|28|6|45|58,622|585|613|607|643|631|658|649,small|small|small|small|large|large|large|large
3,20p,10,5025,0,0,10,94|96|66|71|106|107|77|78|117|86,496|535|555|498|468|472|487|459|546|509,large|large|large|large|large|large|large|large|large|large
4,25p,12,4999,0,0,12,31|3|98|4|99|101|40|74|46|47|113|79,396|437|388|409|423|404|440|425|406|428|420|423,large|large|large|large|large|large|large|large|large|large|large|large
5,35p,18,5015,8,2,8,65|37|43|50|92|144|146|152|133|135|35|9|12|25|1|64|83|87,268|267|275|266|269|271|267|269|279|278|287|297|284|294|283|283|286|292,small|small|small|small|small|small|small|small|medium|medium|large|large|large|large|large|large|large|large
6,15p,8,5029,4,0,4,63|68|131|76|126|69|103|72,587|599|612|602|656|629|652|692,small|small|small|small|large|large|large|large
7,40p,20,5009,5,1,14,55|67|81|89|142|29|8|42|53|27|59|82|84|85|111|118|120|154|156|162,237|237|231|234|233|239|247|255|255|244|256|260|249|264|261|262|265|260|259|261,small|small|small|small|small|medium|large|large|large|large|large|large|large|large|large|large|large|large|large|large
8,15p,8,5020,4,0,4,163|165|173|153|158|167|75|143,609|610|595|572|667|665|632|670,small|small|small|small|large|large|large|large
9,20p,10,5024,1,1,8,141|70|93|125|127|169|171|172|174|57,448|453|552|562|559|512|490|494|459|495,small|medium|large|large|large|large|large|large|large|large
10,25p,12,4991,0,0,12,150|155|157|159|23|122|91|123|164|60|130|132,422|426|417|424|400|413|392|442|398|391|436|430,large|large|large|large|large|large|large|large|large|large|large|large
11,30p,15,5018,3,1,11,36|175|179|134|14|16|18|19|51|22|54|95|100|102|108,307|307|309|312|352|364|350|326|333|348|357|328|328|362|335,small|small|small|medium|large|large|large|large|large|large|large|large|large|large|large
12,15p,8,5030,3,1,4,186|204|214|207|203|205|145|147,575|586|568|626|658|655|669|693,small|small|small|medium|large|large|large|large
13,25p,12,4989,0,1,11,62|180|80|189|116|20|198|199|168|202|209|218,384|428|405|411|388|395|436|426|435|432|413|436,medium|large|large|large|large|large|large|large|large|large|large|large
14,35p,17,4995,0,1,16,166|88|97|109|115|124|129|137|140|178|183|194|200|206|213|217|221,278|288|291|280|303|285|301|286|298|290|301|305|304|303|297|283|302,medium|large|large|large|large|large|large|large|large|large|large|large|large|large|large|large|large
15,30p,15,5006,1,0,14,196|192|110|114|128|30|2|197|138|139|34|39|41|212|73,308|359|327|354|363|317|352|325|320|360|324|316|333|318|330,small|large|large|large|large|large|large|large|large|large|large|large|large|large|large
16,25p,13,5025,10,1,2,216|105|13|112|176|52|244|24|252|119|210|222|247,377|381|375|375|369|382|377|379|374|383|385|423|445,small|small|small|small|small|small|small|small|small|small|medium|large|large
17,15p,8,5018,5,0,3,253|257|260|230|275|121|61|220,620|573|574|607|599|678|695|672,small|small|small|small|small|large|large|large
18,20p,10,4994,0,1,9,136|233|266|268|237|238|270|272|243|182,454|497|487|493|511|544|500|467|482|559,medium|large|large|large|large|large|large|large|large|large
19,40p,20,5016,3,0,17,149|273|327|208|219|228|181|184|185|191|236|193|195|201|259|269|298|303|305|330,231|236|233|263|242|243|263|245|263|264|247|251|244|249|265|264|246|249|254|264,small|small|small|large|large|large|large|large|large|large|large|large|large|large|large|large|large|large|large|large
20,25p,12,4981,2,0,10,304|308|290|258|291|299|301|306|313|278|250|256,383|374|426|435|432|388|418|444|406|417|415|443,small|small|large|large|large|large|large|large|large|large|large|large
21,20p,10,5020,1,1,8,294|329|90|249|187|314|223|224|227|292,448|453|556|541|502|512|502|485|522|499,small|medium|large|large|large|large|large|large|large|large
22,15p,8,4982,4,0,4,276|343|349|319|231|295|265|241,579|595|568|575|655|647|665|698,small|small|small|small|large|large|large|large
23,35p,18,5018,9,4,5,188|190|234|239|282|288|302|328|354|177|242|280|297|235|245|262|263|281,272|274|274|266|266|269|271|269|268|279|277|278|277|301|283|303|305|286,small|small|small|small|small|small|small|small|small|medium|medium|medium|medium|large|large|large|large|large
24,30p,15,5021,2,2,11,225|380|351|309|286|287|151|254|160|161|170|267|311|312|315,306|306|314|313|354|341|365|354|348|336|365|334|331|333|321,small|small|medium|medium|large|large|large|large|large|large|large|large|large|large|large
25,30p,15,4988,1,0,14,383|322|323|324|332|337|226|271|240|274|347|348|277|279|248,306|315|319|316|348|331|328|362|353|328|322|359|340|318|343,small|large|large|large|large|large|large|large|large|large|large|large|large|large|large
26,40p,20,4984,4,1,15,336|358|395|416|432|333|334|335|340|344|345|350|353|370|377|379|393|407|408|443,231|233|231|231|239|259|241|249|247|255|256|256|255|258|247|259|265|258|256|258,small|small|small|small|medium|large|large|large|large|large|large|large|large|large|large|large|large|large|large|large
27,20p,10,5029,0,3,7,384|425|460|391|229|232|331|296|364|399,456|457|454|516|562|517|504|546|472|545,medium|medium|medium|large|large|large|large|large|large|large
28,15p,8,5024,5,0,3,428|368|435|376|485|427|148|429,611|621|614|608|584|632|680|674,small|small|small|small|small|large|large|large
